"","season","niche","site","mean_moist","mean_gN_cm2_hr","mean_rate_gN_g_h","sample_n","total_coverage_cm2","plot_litter_grams","plot_wood_grams","plot_soil_grams","plot_substrate_mass","mean_N_flux_kg_ha","Nfix_kg_ha_season"
"18","fall","Soil","FounEast",15.85225,0,0,8,NA,NA,NA,201903816.120052,201903816.120052,0,0
"19","fall","Soil","GibFalls",4.144125,0,0,8,NA,NA,NA,224124376.145855,224124376.145855,0,0
"20","fall","Soil","GravPit",7.7245,0,0,8,NA,NA,NA,248281218.170707,248281218.170707,0,0
"21","fall","Wood","BiscBas",105.343,0,0,8,NA,NA,5752585.6111111,NA,5752585.6111111,0,0
"22","fall","Wood","FirLopSo",62.203625,0,0,8,NA,NA,2790499.44444445,NA,2790499.44444445,0,0
"23","fall","Wood","FounEast",130.737875,0,0,8,NA,NA,4657012.8888889,NA,4657012.8888889,0,0
"24","fall","Wood","GibFalls",18.642625,0,0,8,NA,NA,2665507.44444445,NA,2665507.44444445,0,0
"25","fall","Wood","GravPit",35.153,0,0,8,NA,NA,5713760.69444445,NA,5713760.69444445,0,0
"26","spring","Lichen","BiscBas",140.2125,1.15824815498822e-10,5.44051609299461e-10,4,770000,NA,NA,NA,NA,3.5674043173637e-07,0.000520841030335101
"27","spring","Lichen","FirLopSo",64.3533333333333,3.3440869910459e-08,3.39607208191897e-08,3,3750000,NA,NA,NA,NA,0.000501613048656885,0.732355051039053
"28","spring","Lichen","FounEast",181.553333333333,6.12448862251445e-10,1.64983529527141e-09,3,50000,NA,NA,NA,NA,1.22489772450289e-07,0.000178835067777422
"29","spring","Lichen","GibFalls",75.745,0,0,2,1180000,NA,NA,NA,NA,0,0
"30","spring","Lichen","GravPit",89.09,9.59108953059841e-09,1.23460703674343e-08,3,1350000,NA,NA,NA,NA,5.17918834652314e-05,0.0756161498592379
"31","spring","Litter","BiscBas",328.798571428571,3.54984866772452e-10,2.16291131730846e-09,7,NA,2514583.33333333,NA,NA,2514583.33333333,2.17552829999276e-05,0.0317627131798943
"32","spring","Litter","FirLopSo",33.838,4.80921081278692e-12,1.84440749062273e-11,5,NA,1957245.37037037,NA,NA,1957245.37037037,1.44398320883911e-07,0.00021082154849051
"33","spring","Litter","FounEast",62.5633333333333,5.16714813101241e-10,1.70895963801744e-09,3,NA,1681921.2962963,NA,NA,1681921.2962963,1.14973424387694e-05,0.0167861199606033
"34","spring","Litter","GibFalls",66.65,1.42771229485112e-11,3.93743800866526e-11,2,NA,2292731.48148148,NA,NA,2292731.48148148,3.61099523153944e-07,0.000527205303804757
"35","spring","Litter","GravPit",46.2133333333333,2.33565479918243e-10,8.47271331003148e-10,3,NA,2281921.2962963,NA,NA,2281921.2962963,7.73362597582957e-06,0.0112910939247112
"36","spring","Moss","BiscBas",79.65,4.3926459155932e-07,5.25921424970123e-07,5,1060000,NA,NA,NA,NA,0.00186248186821152,2.71922352758882
"37","spring","Moss","FirLopSo",54.754,1.02742519106568e-07,1.83755041646277e-07,5,90000,NA,NA,NA,NA,3.69873068783643e-05,0.0540014680424119
"38","spring","Moss","FounEast",99.7533333333333,2.13343555842099e-07,1.46665979940912e-06,3,310000,NA,NA,NA,NA,0.000264546009244203,0.386237173496536
"39","spring","Moss","GibFalls",98.2966666666667,4.51509648625971e-06,1.63018118628647e-05,3,50000,NA,NA,NA,NA,0.000903019297251942,1.31840817398784
"40","spring","Moss","GravPit",154.493333333333,3.30572471431554e-06,2.8386820259448e-06,3,160000,NA,NA,NA,NA,0.00211566381716194,3.08886917305644
"41","spring","Soil","BiscBas",37.9166666666667,8.89650980500936e-10,3.94616436716297e-10,3,NA,NA,NA,247406897.801899,247406897.801899,0.000390523313718474,0.570164038028973
"42","spring","Soil","FirLopSo",42.408,8.60669886512451e-10,4.77897109022602e-10,5,NA,NA,NA,253813149.31758,253813149.31758,0.000485186281163174,0.708371970498234
"43","spring","Soil","FounEast",36.03,1.39720456851546e-09,5.91067976030125e-10,3,NA,NA,NA,201903816.120052,201903816.120052,0.00047735551978735,0.696939058889531
"44","spring","Soil","GibFalls",22.1266666666667,1.71536636482463e-09,1.09275163060316e-09,3,NA,NA,NA,224124376.145855,224124376.145855,0.00097964910996519,1.43028770054918
"45","spring","Soil","GravPit",31.0766666666667,8.77737320673274e-10,3.65657406127012e-10,3,NA,NA,NA,248281218.170707,248281218.170707,0.000363143464905422,0.530189458761916
"46","spring","Wood","BiscBas",232.53,1.53332009271526e-10,3.33359153271776e-10,5,NA,NA,5752585.6111111,NA,5752585.6111111,7.6707082737736e-06,0.0111992340797095
"47","spring","Wood","FirLopSo",178.26,1.06138251537301e-09,2.37458504265801e-09,5,NA,NA,2790499.44444445,NA,2790499.44444445,2.65051129692931e-05,0.0386974649351679
"48","spring","Wood","FounEast",118.315,5.57655801392117e-10,1.19673103987735e-09,2,NA,NA,4657012.8888889,NA,4657012.8888889,2.2292767508969e-05,0.0325474405630948
"49","spring","Wood","GibFalls",210.5,3.40348772048399e-10,6.47586093792865e-10,2,NA,NA,2665507.44444445,NA,2665507.44444445,6.90458221569434e-06,0.0100806900349137
"50","spring","Wood","GravPit",154.61,1.14217789292902e-09,1.95584648476832e-09,2,NA,NA,5713760.69444445,NA,5713760.69444445,4.47009550761464e-05,0.0652633944111738
"51","summer","Lichen","BiscBas",-0.199625,1.89591250478334e-11,5.05817091629425e-11,8,770000,NA,NA,NA,NA,5.83941051473269e-08,8.52553935150973e-05
"52","summer","Lichen","FirLopSo",0.15775,1.23837865636674e-08,3.34009572815966e-08,8,3750000,NA,NA,NA,NA,0.00018575679845501,0.271204925744315
"53","summer","Lichen","FounEast",3.481625,0,0,8,50000,NA,NA,NA,NA,0,0
"54","summer","Lichen","GibFalls",0.0285,0,0,8,1180000,NA,NA,NA,NA,0,0
"55","summer","Lichen","GravPit",0.8449,9.31467716115176e-11,1.80022638520055e-10,10,1350000,NA,NA,NA,NA,5.02992566702195e-07,0.000734369147385205
"56","summer","Litter","BiscBas",-0.4176702095,0,0,8,NA,2514583.33333333,NA,NA,2514583.33333333,0,0
"57","summer","Litter","FirLopSo",-2.03366666666667,0,0,6,NA,1957245.37037037,NA,NA,1957245.37037037,0,0
"58","summer","Litter","FounEast",2.9538,0,0,10,NA,1681921.2962963,NA,NA,1681921.2962963,0,0
"59","summer","Litter","GibFalls",1.05175,0,0,8,NA,2292731.48148148,NA,NA,2292731.48148148,0,0
"60","summer","Litter","GravPit",1.34125,0,0,8,NA,2281921.2962963,NA,NA,2281921.2962963,0,0
"61","summer","Moss","BiscBas",0.064375,1.57569636714652e-08,4.14832131356404e-08,8,1060000,NA,NA,NA,NA,6.68095259670126e-05,0.0975419079118384
"62","summer","Moss","FirLopSo",0.161125,0,0,8,90000,NA,NA,NA,NA,0,0
"63","summer","Moss","FounEast",-7.60633333333333,0,0,6,310000,NA,NA,NA,NA,0,0
"64","summer","Moss","GibFalls",1.4598,3.86343297988032e-07,2.03931102131532e-06,5,50000,NA,NA,NA,NA,7.72686595976064e-05,0.112812243012505
"65","summer","Moss","GravPit",-0.008,1.16831092052578e-07,1.12455653114923e-06,7,160000,NA,NA,NA,NA,7.477189891365e-05,0.109166972413929
"66","summer","Soil","BiscBas",2.17357142857143,0,0,7,NA,NA,NA,247406897.801899,247406897.801899,0,0
"67","summer","Soil","FirLopSo",1.5925,0,0,8,NA,NA,NA,253813149.31758,253813149.31758,0,0
"68","summer","Soil","FounEast",9.49125,0,0,8,NA,NA,NA,201903816.120052,201903816.120052,0,0
"69","summer","Soil","GibFalls",1.59125,0,0,8,NA,NA,NA,224124376.145855,224124376.145855,0,0
"70","summer","Soil","GravPit",2.386875,0,0,8,NA,NA,NA,248281218.170707,248281218.170707,0,0
"71","summer","Wood","BiscBas",2.15975,0,0,8,NA,NA,5752585.6111111,NA,5752585.6111111,0,0
"72","summer","Wood","FirLopSo",-1.146375,0,0,8,NA,NA,2790499.44444445,NA,2790499.44444445,0,0
"73","summer","Wood","FounEast",14.0895714285714,0,0,7,NA,NA,4657012.8888889,NA,4657012.8888889,0,0
"74","summer","Wood","GibFalls",0.245571428571429,0,0,7,NA,NA,2665507.44444445,NA,2665507.44444445,0,0
"75","summer","Wood","GravPit",0.914625,0,0,8,NA,NA,5713760.69444445,NA,5713760.69444445,0,0
"76","summer_wet","Lichen","BiscBas",20.6182,2.72820747910221e-09,2.42183915278711e-09,5,770000,NA,NA,NA,NA,8.40287903563479e-06,0.0122682033920268
"77","summer_wet","Lichen","FirLopSo",48.8136,7.87015931331699e-09,2.66559464040778e-08,5,3750000,NA,NA,NA,NA,0.000118052389699755,0.172356488961642
"78","summer_wet","Lichen","FounEast",94.9706,1.85390587659338e-07,9.75189658306295e-07,5,50000,NA,NA,NA,NA,3.70781175318676e-05,0.0541340515965267
"79","summer_wet","Lichen","GibFalls",65.3064,5.4550957933939e-08,3.15097804744371e-07,5,1180000,NA,NA,NA,NA,0.000257480521448192,0.375921561314361
"80","summer_wet","Lichen","GravPit",66.1712,3.77474462158368e-08,1.41910843509855e-07,5,1350000,NA,NA,NA,NA,0.000203836209565519,0.297600865965658
"81","summer_wet","Litter","BiscBas",31.0056,0,0,5,NA,2514583.33333333,NA,NA,2514583.33333333,0,0
"82","summer_wet","Litter","FirLopSo",48.07125,0,0,4,NA,1957245.37037037,NA,NA,1957245.37037037,0,0
"83","summer_wet","Litter","FounEast",92.966,4.56251997897099e-11,2.77539164520057e-10,5,NA,1681921.2962963,NA,NA,1681921.2962963,1.86719612545026e-06,0.00272610634315738
"84","summer_wet","Litter","GibFalls",50.828,1.37505162694667e-11,4.83533555636191e-11,5,NA,2292731.48148148,NA,NA,2292731.48148148,4.43445042143909e-07,0.000647429761530107
"85","summer_wet","Litter","GravPit",61.0213333333333,0,0,3,NA,2281921.2962963,NA,NA,2281921.2962963,0,0
"86","summer_wet","Moss","BiscBas",21.78075,3.02004736010465e-09,4.23583214021536e-09,4,1060000,NA,NA,NA,NA,1.28050008068437e-05,0.0186953011779919
"87","summer_wet","Moss","FirLopSo",29.1462,1.08768641078268e-06,8.30834219091487e-07,5,90000,NA,NA,NA,NA,0.000391567107881763,0.571687977507375
"88","summer_wet","Moss","FounEast",79.1215,1.94973577407162e-07,2.18079554913423e-06,6,310000,NA,NA,NA,NA,0.000241767235984881,0.352980164537926
"89","summer_wet","Moss","GibFalls",21.2824,1.3433137010076e-07,2.46996131696009e-07,5,50000,NA,NA,NA,NA,2.68662740201519e-05,0.0392247600694218
"90","summer_wet","Moss","GravPit",70.5432,2.08638994241475e-08,9.25913611763684e-08,5,160000,NA,NA,NA,NA,1.33528956314544e-05,0.0194952276219234
"91","summer_wet","Soil","BiscBas",9.5054,0,0,5,NA,NA,NA,247406897.801899,247406897.801899,0,0
"92","summer_wet","Soil","FirLopSo",17.1974,0,0,5,NA,NA,NA,253813149.31758,253813149.31758,0,0
"93","summer_wet","Soil","FounEast",32.74,9.4782766689949e-10,4.74899600384676e-10,5,NA,NA,NA,201903816.120052,201903816.120052,0.000383536166366214,0.559962802894673
"94","summer_wet","Soil","GibFalls",13.1348,0,0,5,NA,NA,NA,224124376.145855,224124376.145855,0,0
"95","summer_wet","Soil","GravPit",21.27,0,0,5,NA,NA,NA,248281218.170707,248281218.170707,0,0
"96","summer_wet","Wood","BiscBas",104.635666666667,4.92232946656298e-10,2.19960100957004e-09,6,NA,NA,5752585.6111111,NA,5752585.6111111,5.06135724713521e-05,0.0738958158081741
"97","summer_wet","Wood","FirLopSo",103.872,1.19636884079364e-09,3.47677528533705e-09,5,NA,NA,2790499.44444445,NA,2790499.44444445,3.8807758008765e-05,0.0566593266927968
"98","summer_wet","Wood","FounEast",136.5226,7.56821425735332e-10,2.68402477807545e-09,5,NA,NA,4657012.8888889,NA,4657012.8888889,4.99981519423782e-05,0.0729973018358722
"99","summer_wet","Wood","GibFalls",62.14225,2.0233905770054e-10,5.06773180822995e-10,4,NA,NA,2665507.44444445,NA,2665507.44444445,5.40323074451395e-06,0.00788871688699036
"100","summer_wet","Wood","GravPit",135.9004,1.83761922806738e-09,5.25428785207493e-09,5,NA,NA,5713760.69444445,NA,5713760.69444445,0.000120086973625931,0.175326981493859
